REGIONS/COUNTRIES,Year,Sales
SWITZERLAND (+FL),2006,269421.0
UNITED KINGDOM,2006,2344864.0
EUROPE NEW MEMBERS,2006,1140956.0
BULGARIA*,2006,36455.0
CROATIA,2006,78775.0
CYPRUS,2006,18639.0
CZECH REPUBLIC,2006,156686.0
ESTONIA,2006,25363.0
HUNGARY,2006,187676.0
LATVIA,2006,14234.0
LITHUANIA,2006,25582.0
MALTA,2006,6745.0
POLAND,2006,224728.0
ROMANIA,2006,247411.0
SLOVAKIA,2006,59084.0
SLOVENIA,2006,59578.0
"RUSSIA, TURKEY & OTHER EUROPE",2006,2724418.0
ALBANIA,2006,800.0
ARMENIA,2006,12000.0
BELARUS,2006,13000.0
BOSNIA,2006,10000.0
GEORGIA,2006,2000.0
MACEDONIA,2006,10000.0
MOLDAVIA,2006,5000.0
RUSSIA,2006,1911240.0
SERBIA,2006,25610.0
TURKEY,2006,373219.0
UKRAINE,2006,361549.0
AMERICA,2006,11980414.0
NAFTA,2006,9301364.0
CANADA,2006,858826.0
MEXICO,2006,680946.0
UNITED STATES OF AMERICA,2006,7761592.0
CENTRAL & SOUTH AMERICA,2006,2679050.0
ARGENTINA,2006,336296.0
BAHAMAS,2006,2000.0
BELIZE,2006,200.0
BOLIVIA,2006,1500.0
BRAZIL,2006,1556220.0
CHILE,2006,140000.0
COLOMBIA,2006,160000.0
COSTA RICA,2006,15000.0
CUBA,2006,2000.0
DOMINICAN REPUBLIC,2006,16000.0
ECUADOR,2006,58900.0
EL SALVADOR,2006,6000.0
GUADELOUPE,2006,13562.0
GUATEMALA,2006,9400.0
GUYANA,2006,4071.0
HONDURAS,2006,5600.0
JAMAICA,2006,3000.0
MARTINIQUE,2006,14132.0
NICARAGUA,2006,6000.0
PANAMA,2006,15000.0
PARAGUAY,2006,5000.0
PERU,2006,20061.0
PUERTO RICO,2006,85000.0
TRINIDAD,2006,10000.0
URUGUAY,2006,10000.0
VENEZUELA,2006,184108.0
ASIA/OCEANIA/MIDDLE EAST,2006,16123076.0
AUSTRALIA,2006,598394.0
AZERBAIDJAN,2006,13000.0
BAHRAIN,2006,18000.0
BANGLADESH,2006,9000.0
BRUNEI,2006,15000.0
CAMBODGE,2006,1000.0
CHINA,2006,5175961.0
HONG-KONG,2006,27877.0
INDIA,2006,1311373.0
INDONESIA,2006,222387.0
IRAK,2006,5000.0
IRAN,2006,850000.0
ISRAEL,2006,130000.0
JAPAN,2006,4612318.0
JORDAN,2006,5000.0
KAZAKSTAN,2006,39100.0
KIRGHIZISTAN,2006,5000.0
KUWAIT,2006,65000.0
LAOS,2006,1000.0
LEBANON,2006,15000.0
MALAYSIA,2006,374169.0
MONGOLIA,2006,500.0
MYANMAR,2006,1000.0
NEPAL,2006,1000.0
NEW CALEDONIA,2006,7251.0
NEW ZEALAND,2006,76804.0
OMAN,2006,145400.0
PAKISTAN,2006,160256.0
